@id,@type,subClassOf,subClassOf,prefLabel,altLabel,assesses,definition,scope note,,,,,
pink:CarcinogenicityAssessment ,owl:Class,pink:HazardIdentificationHumanHealth,,CarcinogenicityAssessment ,Carcinogenicity Assessment ,,"Test(s) carried out over a sufficient time to detect any possible carcinogenic effect of a
test substance",,,,,,
pink:NonGenotoxicCarcinogenicityAssessment ,owl:Class,pink:HazardIdentificationHumanHealth,,Non-genotoxicCarcinogenicity Assessment ,Non-genotoxic Carcinogenicity  Assessment ,,,,,,,,
pink:MutagenicityAssessment,owl:Class,pink:HazardIdentificationHumanHealth,,MutagenicityAssessment,Mutagenicity Assessment,,,,,,,,
pink:HepatotoxicityAssessment,owl:Class,pink:HazardIdentificationHumanHealth,,HepatotoxicityAssessment,Hepatotoxicity Assessment,,,,,,,,
pink:RenalToxicityAssessment,owl:Class,pink:HazardIdentificationHumanHealth,,RenalToxicityAssessment,Renal Toxicity Assessment,,,,,,,,
pink:NeurotoxicityAssessment,owl:Class,pink:HazardIdentificationHumanHealth,,NeurotoxicityAssessment,Neurotoxicity Assessment,,,,,,,,
pink:ImmunotoxicityAssessment,owl:Class,pink:HazardIdentificationHumanHealth,,Immunotoxicity?Assessment,Immunotoxicity Assessment,,,,,,,,
pink:ReproductiveToxicityAssessment,owl:Class,pink:HazardIdentificationHumanHealth,,ReproductiveToxicity Assessment,Reproductive Toxicity Assessment,,,,,,,,
pink:EndocrineToxicityAssessment,owl:Class,pink:HazardIdentificationHumanHealth,,EndocrineToxicityAssessment,Endocrine Toxicity Assessment,,,,,,,,
pink:BehaviouralImmunotoxicityAssessment,owl:Class,pink:HazardIdentificationHumanHealth,,BehaviouralImmunotoxicityAssessment,Behavioural Immunotoxicity Assessment,,,,,,,,
pink:DevelopmentalNeurotoxicityAssessment,owl:Class,pink:HazardIdentificationHumanHealth,,DevelopmentalNeurotoxicityAssessment,Developmental Neurotoxicity Assessment,,Any examination that allows detection of substance-induced changes in the structural or functional integrity of the nervous system of a developing organism.,,,,,,
pink:PrenatalDevelopmentalToxicityAssessment,owl:Class,pink:HazardIdentificationHumanHealth,,PrenatalDevelopmentalToxicityAssessment,Prenatal Developmental Toxicity Assessment,,,,,,,,
pink:HHRAAirPollution,owl:Class,pink:HumanHealthRiskAssessment,,HHRAAir pollution,HHRA Air Pollution,,Assessment of human health Risks from Air pollutants,,,,,,
pink:HHRAWaterPollution,owl:Class,pink:HumanHealthRiskAssessment,,HHRAWaterPollution,HHRA Water Pollution,,Assessment of human health Risks from pollutants in drinking water,,,,,,
pink:HHRASoilPollution,owl:Class,pink:HumanHealthRiskAssessment,,HHRA Soil pollution,HHRA  Soil pollution,,Assessment of human health Risks from pollutants in soil,,,,,,
pink:HHRAIndoorAirPollution,owl:Class,pink:HumanHealthRiskAssessment,,HHRAIndoor air pollution,HHRA Indoor air pollution,,Assessment of human health Risks from indoor air pollutants,,,,,,
pink:HHRAChemicalSubstances,owl:Class,pink:HumanHealthRiskAssessment,,HHRAChemicalSubstances,HHRA ChemicalSubstances,,"Assessment of Human Health Risks from pesticides, cosmetics, chemicals in flame retardants, etc. This can include dermal exposures, in addition to inhalation and ingestion exposure routes.",,,,,,
pink:AquaticToxicityFreshwater,owl:Class,pink:EnvironmentalRiskAssessment,,AquaticToxicityFreshwater,Aquatic Toxicity Freshwater,,Risks to freshwater organisms,,,,,,
pink:AquaticToxicityMarine,owl:Class,pink:EnvironmentalRiskAssessment,,AquaticToxicityMarine,Aquatic Toxicity Marine,,Risks to marine organisms,,,,,,
pink:SedimentToxicity,owl:Class,pink:EnvironmentalRiskAssessment,,SedimentToxicity,Sediment Toxicity,,Risks to sediment-dwelling organisms (benthic),,,,,,
pink:TerrestrialToxicity,owl:Class,pink:EnvironmentalRiskAssessment,,TerrestrialToxicity,TerrestrialToxicity,,"Risks to terrestrial organisms (earthworms, bees, etc.)",,,,,,
pink:LongTermToxicityBirds,owl:Class,pink:EnvironmentalRiskAssessment,,LongTermToxicityBirds,Long Term Toxicity Birds,,,,,,,,
pink:EnergyConsumptionAssessment,owl:Class,pink:EnvironmentalSustainabilityAssessment,,EnergyConsumptionAssessment,Energy Consumption Assessment,,Assessing the energy consumption during production of chemicals and materials,,,,,,
pink:RenewableEnergyConsumptionAssessment,owl:Class,pink:EnergyConsumptionAssessment,,RenewableEnergyConsumptionAssessment,Renewable Energy Consumption Assessment,,Assessing the renewable energy consumption during production of chemicals and materials,,,,,,
pink:FossilFuelEnergyConsumptionAssessment,owl:Class,pink:EnergyConsumptionAssessment,,FossilFuelEnergyConsumptionAssessment,Fossil Fuel Energy Consumption Assessment,,Assessing the non-renewable energy consumption during production of chemicals and materials,,,,,,
pink:AmbientAirQualityAssessment,owl:Class,pink:ExposureAssessmentEnvironment,,AmbientAirQualityAssessment,Ambient Air Quality Assessment,,Assessing the concentration of air pollutants ,,,,,,
pink:WaterQualityAssessment,owl:Class,pink:ExposureAssessmentEnvironment,,WaterQualityAssessment,Water Quality Assessment,,Assessing the concentration of water pollutants ,,,,,,
pink:SoilQualityAssessment,owl:Class,pink:ExposureAssessmentEnvironment,,SoilQualityAssessment,Soil Quality Assessment,,Assessing the concentration of soil pollutants ,,,,,,
pink:ResourceAssessmentFossilFuel,owl:Class,pink:EnvironmentalSustainabilityAssessment,,ResourceAssessment FossilFuel,Fossil Fuel Resource  Scarcity,,,,,,,,
pink:ResourceAssessmentLand,owl:Class,pink:EnvironmentalSustainabilityAssessment,,ResourceAssessment Land,Land Use ,,,,,,,,
pink:ResourceAssessmentWater,owl:Class,pink:EnvironmentalSustainabilityAssessment,,ResourceAssessmentWater,Water Resource Assessment ,,,,,,,,
pink:ResourceAssessmentMinerals,owl:Class,pink:EnvironmentalSustainabilityAssessment,,ResourceAssessmentMinerals,Minerals Resource Assessment ,,,,,,,,
pink:BiodiversityAssessment,owl:Class,pink:EnvironmentalSustainabilityAssessment,,BiodiversityAssessment,Biodiversity Assessment,,,,,,,,
pink:LifeCycleImpactAssessmentCategory,owl:Class,pink:EnvironmentalSustainabilityAssessment,,LifeCycleAssessmentImpactCategory,Life Cycle Assessment Impact Category,,A LCA impact category groups different emissions into one effect on the environment,,,,,,
pink:StratosphericOzoneLayerDepletionAssessment,owl:Class,LifeCycleImpactAssessmentCategory,,StratosphericOzoneLayerDepletionImpactCategory,Stratospheric Ozone Layer Depletion Assessment,,,,,,,,
pink:GlobalWarmingAssessment,owl:Class,LifeCycleImpactAssessmentCategory,,GlobalWarmingPotenial100,Global warming (GWP 100),,,,,,,,
pink:FreshwaterEutrophicationImpactAssessment ,owl:Class,LifeCycleImpactAssessmentCategory,,FreshwaterEutrophicationImpactCategory,Freshwater Eutrophication,,,,,,,,
pink:MarineEutrophicationImpactAssessment ,owl:Class,LifeCycleImpactAssessmentCategory,,MarineEutrophicationImpactCategory,Marine Eutrophication,,,,,,,,
pink:TerrestrialEutrophicationImpactAssessment ,owl:Class,LifeCycleImpactAssessmentCategory,,TerrestrialEutrophicationImpactCategory,Terrestrial Eutrophication,,,,,,,,
pink:AcidificationImpactAssessment,owl:Class,LifeCycleImpactAssessmentCategory,,AcidificationImpactCategory,Acidification,,"Assesses the potential for emissions like SO? and NOx to form acid rain, thereby harming soil, water, and ecosystems",,,,,,
pink:FreshwaterAquaticEcotoxicityImpactAssessment,owl:Class,LifeCycleImpactAssessmentCategory,,FreshwaterAquaticEcotoxicityImpactCategory,Freshwater Aquatic Ecotoxicity,,,,,,,,
pink:MarineAquaticEcotoxicityImpactAssessment,owl:Class,LifeCycleImpactAssessmentCategory,,MarineAquaticEcotoxicityImpactCategory,Marine Aquatic Ecotoxicity,,,,,,,,
pink:HumanToxicityCancerImpactAssessment,owl:Class,LifeCycleImpactAssessmentCategory,,HumanToxicityCancerImpactCategory,Human carcinogenic toxicity,,"Evaluating cancer risks caused by inhaling, ingesting, or absorbing chemical substances from environmental emissions (air, water, soil)",,,,,,
pink:HumanToxicityNonCancerImpactAssessment,owl:Class,LifeCycleImpactAssessmentCategory,,HumanToxicityNonCancerImpactCategory,Human noncarcinogenic toxicity,,"Evaluating the adverse health effects on human, excluding cancer, caused by inhaling, ingesting, or absorbing chemical substances from environmental emissions (air, water, soil)",,,,,,
pink:PhotochemicalOzoneFormationAssessment,owl:Class,LifeCycleImpactAssessmentCategory,,PhotochemicalOzoneFormationImpactCategory,Photochemical ozone formation,,"This measures the potential of emissions like volatile organic compounds (VOCs) to form ground-level ozone, impacting human health and vegetation",,,,,,
pink:OccupationalHealthandSafetyAssessment,owl:Class,pink:SocialSustainabilityAssessment,,OccupationalHealthandSafetyAssessment,OHS assessment,,,,,,,,
pink:SafeWorkingConditionsAssessment,owl:Class,pink:OccupationalHealthandSafetyAssessment,,SafeWorkingConditionsAssessment,Safe Working Conditions Assessment,,,,,,,,
pink:OccupationalNonfatalInjuriesRate,owl:Class,pink:SafeWorkingConditionsAssessment,,OccupationalNonfatalInjuriesRate,Occupational Non-fatal Injuries Rate,,,,,,,,
pink:WorkerSocialResponsibilityAssessment,owl:Class,pink:SocialSustainabilityAssessment,,WorkerSocialResponsibilityAssessment,Worker Social Responsibility ,,,,,,,,
pink:FairRenumerationAssessment,owl:Class,pink:WorkerSocialResponsibilityAssessment,,FairRenumerationAssessment,Fair Renumeration,,,,,,,,
pink:WorkingHoursAssessment,owl:Class,pink:WorkerSocialResponsibilityAssessment,,WorkingHoursAssessment,Working Hours,,,,,,,,
pink:ExternalitiesAssessment ,owl:Class,pink:EconomicSustainabilityAssessment,,ExternalitiesAssessment ,Externalities Assessment ,,"Externalities assessment is the process of identifying, quantifying, and valuing the indirect costs or benefits of economic activities imposed on third parties—such as environmental damage, pollution, health impacts, cultural heritage loss, loss of traditional livelihoods—that are not reflected in market prices",Activity by one party causes a cost or benefit to another party,,,,,
pink:SocialExternalitiesAssessment,owl:Class,pink:ExternalitiesAssessment ,,SocialExternalitiesAssessment,Social Externalities Assessment,,Assessment of social externalities. ,"Social externalities are the unintended social consequences of economic activities, the hidden costs and benefits that are not reflected in market prices.",,,,,
pink:EnvironmentalExternalitiesAssessment,owl:Class,pink:ExternalitiesAssessment ,,EnvironmentalExternalitiesAssessment,Environmental Externalities Assessment,,Assessment of enviornmental externalities. ,,,,,,
